Number of words:  7781959860		
WORD	COUNT	FREQPERMILLION
THE	289535607	37206.001085695700000
TO	167362143	21506.425888966200000
AND	156578790	20120.739867193300000
OF	146758326	18858.787328671700000
A	124832101	16041.216254744300000
IN	106109864	13635.365114823400000
IS	72505406	9317.113851060140000
THAT	66571105	8554.542325794010000
FOR	63513362	8161.615215527470000
YOU	61811907	7942.974277947510000
I	57866837	7436.023577741760000
IT	50679495	6512.433360199830000
THIS	44209804	5681.062970684610000
ON	42751582	5493.678041150930000
WITH	41021700	5271.384167741000000
ARE	37336854	4797.872858727390000
AS	35403078	4549.378130562600000
BE	35118157	4512.765117243870000
HAVE	31726802	4076.968086545750000
NOT	31502151	4048.099908857660000
OR	29571319	3799.983491562240000
BY	26647497	3424.265542279470000
YOUR	26516529	3407.435848686070000
WAS	25715928	3304.556752108460000
WROTE	25435870	3268.568645636780000
AT	25170538	3234.472864525930000
FROM	24842029	3192.258691501400000
WILL	24788023	3185.318794486820000
JOB	23349704	3000.491446893690000
BUT	21869860	2810.328039908450000
ALL	21767514	2797.176340100010000
THEY	21235674	2728.833659134290000
IF	20852353	2679.576016214510000
WE	19489351	2504.427078861850000
HE	18598636	2389.968123017280000
AN	17799444	2287.270086227350000
NO	17158752	2204.939669272460000
HAS	16333837	2098.936166961930000
MY	15605296	2005.316948525100000
MORE	15261249	1961.106106245070000
WHO	15107602	1941.362108233750000
DO	15019384	1930.025889390800000
CAN	14816150	1903.909846175950000
WHAT	14745561	1894.838994967520000
ONE	14710104	1890.282687734140000
WHEN	14639170	1881.167503220710000
SO	14558856	1870.846966820520000
US	14534594	1867.729243208920000
ABOUT	13769795	1769.450787169700000
HIS	13128245	1687.010115212800000
THERE	13067304	1679.179054516480000
THEIR	12899859	1657.661981309680000
WOULD	12877734	1654.818867184440000
MESSAGE	12571303	1615.441768675480000
BEEN	11475511	1474.629939815700000
LIKE	11469003	1473.793646630300000
DE	11191476	1438.130779564310000
JUST	11102124	1426.648839075350000
TIME	11075992	1423.290816100410000
ME	11044004	1419.180283461400000
THEM	10664508	1370.414161966650000
OTHER	10616245	1364.212253852460000
SOME	10465741	1344.872138674850000
OUT	10196276	1310.245257420280000
OUR	10192325	1309.737544701240000
WHICH	10033024	1289.266994497190000
UP	9993471	1284.184341706430000
PLEASE	9724269	1249.591256565540000
PEOPLE	9561027	1228.614278665790000
WERE	9450435	1214.402948616600000
ANY	9337381	1199.875245822710000
DON'T	8933029	1147.915070330370000
HAD	8916375	1145.774992470860000
NEW	8819541	1133.331597523810000
ONLY	8806073	1131.600928098340000
IT'S	8787508	1129.215282279800000
THEN	8564809	1100.597941146410000
GET	8405574	1080.135872096360000
THAN	8166245	1049.381537159460000
EXPERIENCE	8152781	1047.651381743310000
APPLY	8114726	1042.761225447900000
NOW	8028481	1031.678541708640000
HOW	7969512	1024.100887613680000
SAID	7733779	993.808647067475000
SEE	7609082	977.784791606468000
YEARS	7339410	943.131310368902000
RESUME	7305423	938.763901565537000
ALSO	7127929	915.955508410962000
KNOW	7107360	913.312343916408000
WORK	6999064	899.396055224577000
OVER	6936080	891.302464261233000
MAY	6853948	880.748310619017000
VISIT	6613176	849.808546815095000
MUST	6591617	847.038165010530000
THINK	6374887	819.187854304867000
WELL	6311846	811.086938708522000
EVEN	6302635	809.903303716090000
INTO	6302027	809.825174297417000
ONLINE	6249218	803.039094575849000
BECAUSE	6234154	801.103335426354000
GOOD	6192764	795.784623849242000
HER	6192720	795.778969746575000
THOSE	6170831	792.966182172006000
USE	6166855	792.455256894630000
SHOULD	6009795	772.272680419608000
SHE	5888177	756.644483642968000
MANY	5866901	753.910467998739000
THESE	5804032	745.831654803730000
FREE	5730737	736.413076281275000
VERY	5724387	735.597086464540000
DID	5687390	730.842885637809000
LA	5655543	726.750471827800000
ITS	5653656	726.507987924780000
AFTER	5568163	715.521937940194000
COULD	5534594	711.208243112166000
PROCESSING	5446787	699.924838728222000
USING	5428453	697.568876948692000
GO	5416302	696.007445096228000
TOO	5403059	694.305688695752000
MAKE	5393284	693.049578387314000
HERE	5389501	692.563454060273000
ABOVE	5299080	680.944144576968000
WHY	5175837	665.107131508643000
BACK	5169449	664.286258603241000
HIM	5141549	660.701043502941000
WAY	5139630	660.454447525254000
DOES	5139386	660.423092955918000
FASTEST	5117336	657.589616505681000
MUCH	5012894	644.168575806558000
MOST	4989635	641.179740035308000
NAME	4942791	635.160176732137000
WHERE	4934236	634.060839270379000
AM	4923584	632.692032415598000
BEFORE	4921936	632.480260570247000
I'M	4881686	627.308041653147000
COMPANY	4837066	621.574267539334000
FULL	4817662	619.080808263126000
BEING	4809194	617.992650504368000
DEVELOPMENT	4709838	605.225172672633000
SUCH	4693486	603.123902517791000
CONTACT	4662497	599.141743709791000
RIGHT	4632817	595.327794456138000
NEVER	4611534	592.592879295576000
TECHNOLOGY	4599652	591.066014570782000
FIRST	4594203	590.365805356390000
WANT	4519892	580.816668463258000
EMAIL	4499848	578.240967693709000
QUE	4474388	574.969298286769000
TWO	4467465	574.079676633027000
DATE	4465310	573.802754104671000
SERVICE	4372643	561.894828380675000
INFORMATION	4365453	560.970896603931000
WORLD	4300161	552.580722255229000
NEWS	4281995	550.246348867700000
SAY	4262847	547.785786188828000
GROUP	4203276	540.130773689187000
NEED	4192818	538.786896287075000
STILL	4130495	530.778245366072000
START	4087207	525.215636360273000
SUPPORT	4068054	522.754431169734000
EN	4067664	522.704315259729000
SAME	4014148	515.827384388487000
CODE	3970526	510.221855603352000
Y	3919157	503.620819241800000
THROUGH	3895655	500.600757403547000
YEAR	3822243	491.167144108091000
WHILE	3807331	489.250917313264000
REALLY	3806447	489.137321250588000
PAY	3775553	485.167370164256000
INC	3763353	483.599641697458000
PHONE	3762624	483.505963496450000
TAKE	3725187	478.695221643048000
AGAINST	3703134	475.861359685811000
BUSINESS	3679061	472.767923015218000
GOD	3669749	471.571309287118000
BUSH	3655371	469.723702738297000
STATES	3644051	468.269056324842000
EL	3639339	467.663553330125000
BOARD	3538939	454.761919062379000
TODAY	3537700	454.602704671365000
POSITION	3486815	448.063863439152000
WITHOUT	3478199	446.956687335059000
INTERNET	3460681	444.705583459537000
SINCE	3442858	442.415286372346000
PROFESSIONALS	3414633	438.788308013709000
OWN	3412188	438.474119808683000
GOING	3376386	433.873479270298000
DESCRIPTION	3368386	432.845460603545000
WAR	3363984	432.279793332165000
SKILLS	3355974	431.250489642078000
UNITED	3354028	431.000424101391000
MIGHT	3347974	430.222470975326000
SYSTEM	3292385	423.079154767061000
UNDER	3283800	421.975962235303000
OFF	3281565	421.688759520278000
MADE	3279435	421.415049550256000
LONG	3277253	421.134657458899000
SENT	3272319	420.500626946179000
EVERY	3243606	416.810939448870000
LAST	3234936	415.696824218777000
REQUIRED	3208633	412.316827344828000
USED	3206164	411.999555083801000
BOTH	3193805	410.411394746002000
ANOTHER	3182276	408.929891344878000
YOU'RE	3167499	407.031012365052000
SURE	3157248	405.713734945942000
TITLE	3152473	405.100136304224000
RATE	3140729	403.591004901431000
DAY	3140667	403.583037756764000
ABLE	3131051	402.347359319327000
PROJECT	3129295	402.121709221975000
SOMETHING	3121705	401.146376511893000
REGIONAL	3104543	398.941019467042000
AREA	3083793	396.274596050152000
AROUND	3069265	394.407714151329000
P	3063245	393.634130104598000
VIEW	3056873	392.815313236530000
LITTLE	3054085	392.457048731166000
DOWN	3053371	392.365298065159000
PART	3032365	389.665978050933000
LOCATION	3021911	388.322614658154000
COMMUNITY	3008485	386.597342330676000
LIFE	2996263	385.026786812545000
THOUSANDS	2992279	384.514833516502000
FIND	2982239	383.224670089727000
FAX	2971610	381.858818788613000
RECEIVED	2969226	381.552469225921000
AGAIN	2959441	380.295073894149000
CAN'T	2949205	378.979724010039000
BETTER	2945495	378.502980353332000
HELP	2930269	376.546403825835000
BETWEEN	2911669	374.156260425635000
END	2902047	372.919810974198000
GOT	2885624	370.809417153689000
AD	2883844	370.580683000336000
GOVERNMENT	2881180	370.238352784307000
LOOK	2868689	368.633230138507000
THINGS	2857333	367.173957641051000
DOESN'T	2855053	366.880972321027000
STATE	2831431	363.845490202773000
JOBS	2829052	363.539783151747000
TRY	2828651	363.488253716076000
MANAGEMENT	2827473	363.336877967397000
BELIEVE	2824226	362.919630891029000
DATA	2818869	362.231243891304000
LENGTH	2810958	361.214661932219000
EMPLOYER	2784925	357.869360688273000
POST	2755729	354.117606563959000
READ	2751286	353.546670696911000
ARTICLE	2743212	352.509142857491000
LIVE	2742974	352.478559302155000
ABSOLUTELY	2726239	350.328072753642000
SYSTEMS	2721903	349.770886636262000
POSTING	2705508	347.664090881086000
RESPONDING	2692909	346.045089983284000
AREAS	2679289	344.294888203137000
CAREER	2678685	344.217272793797000
C	2668709	342.935333516357000
MAN	2658906	341.675625142585000
UNTIL	2655261	341.207234137545000
INCLUDE	2650290	340.568449038492000
REFER	2650215	340.558811363491000
PROBLEM	2648067	340.282788351468000
COME	2647060	340.153386501791000
ASKS	2642992	339.630639009747000
POINT	2628356	337.749878858923000
THING	2618466	336.478990782150000
CURRENTLY	2608992	335.261559676048000
WEB	2593236	333.236876911879000
TYPE	2584647	332.133170370786000
KNOWLEDGE	2584248	332.081897939782000
OLD	2581344	331.708727163751000
WON'T	2574072	330.774258195673000
BEST	2568964	330.117868276951000
SOFTWARE	2550104	327.694314270082000
GREAT	2543305	326.820626905675000
LIST	2541380	326.573259913988000
SITE	2536826	325.988060287939000
DESIGN	2527934	324.845417539843000
INCLUDING	2522272	324.117837328449000
CASE	2514751	323.151371279368000
WITHIN	2507760	322.253011466960000
OPEN	2474834	318.021943639272000
STRONG	2449853	314.811826850004000
NOTHING	2439882	313.530530084230000
DIDN'T	2439786	313.518193860229000
D	2435186	312.927083126846000
AMERICAN	2407751	309.401621611551000
PERSON	2405632	309.129325167195000
MONITOR	2400422	308.459828010472000
UNLESS	2395949	307.885037073424000
JOHN	2388278	306.899295674342000
TEAM	2386475	306.667605967322000
MONEY	2384899	306.465086289972000
FEW	2379513	305.772972722581000
PUT	2375300	305.231592392202000
EACH	2364920	303.897738172091000
SEND	2353926	302.484983519306000
K	2349853	301.961593515595000
FACT	2328076	299.163198202361000
I'VE	2327542	299.094577956356000
CALL	2321650	298.337442208292000
ACTUALLY	2319824	298.102796947606000
IRAQ	2311547	297.039183134517000
LEAST	2298270	295.333057654708000
SET	2290387	294.320073760956000
ALWAYS	2287957	294.007813090930000
SAYS	2286436	293.812361041914000
OTHERS	2280662	293.070388569185000
REAL	2280503	293.049956698183000
GIVE	2275112	292.357200619125000
SUBJECT	2262640	290.754519517658000
RELATED	2250023	289.133205577856000
WORKING	2248941	288.994166053177000
PUBLIC	2244236	288.389562574793000
AUTOMATICALLY	2240798	287.947771552756000
FOLLOWING	2240126	287.861417984749000
MONTHS	2238254	287.620861616729000
O	2232778	286.917182839337000
PROVIDES	2222310	285.572020413891000
ANYTHING	2221472	285.464335458549000
LEARN	2216888	284.875280762499000
NUMBER	2198782	282.548617514971000
PRESIDENT	2179642	280.089082854766000
FOUND	2170490	278.913029500001000
LAW	2168939	278.713722380984000
LOT	2168314	278.633408422644000
